Zeit_UTC;°C_Umgebung;kW_gemessen;kW_gem_Umluftkassetten
2019-12-21 10:50:00;5.0;5.072874;1.332658
2019-12-21 11:00:00;5.0;5.10558;1.180678
2019-12-21 11:10:00;5.1;5.090036;1.248096
2019-12-21 11:20:00;5.1;5.089662;1.17708
2019-12-21 11:30:00;5.1;5.102175;1.123028
2019-12-21 11:40:00;5.1;5.090878;1.215598
2019-12-21 11:50:00;5.2;5.071114;1.13898
2019-12-21 12:00:00;5.3;5.116994;1.259282
2019-12-21 12:10:00;5.4;5.087426;1.07801
2019-12-21 12:20:00;5.5;5.1458;1.0658
2019-12-21 12:30:00;5.6;5.13926;1.091946
2019-12-21 12:40:00;5.6;5.095203;1.05602
2019-12-21 12:50:00;5.7;5.06092;1.097154
2019-12-21 13:00:00;5.6;5.097874;1.095292
2019-12-21 13:10:00;5.4;5.07945;1.07315
2019-12-21 13:20:00;5.4;5.103328;0.894306
2019-12-21 13:30:00;5.5;5.072438;1.40294
2019-12-21 13:40:00;5.4;5.07314;1.398098
2019-12-21 13:50:00;5.4;5.062758;1.11108
2019-12-21 14:00:00;5.4;5.110848;1.066125
2019-12-21 14:10:00;5.4;5.1031;0.99332
2019-12-21 14:20:00;5.3;5.069192;0.969872
2019-12-21 14:30:00;5.3;5.075808;0.983576
2019-12-21 14:40:00;5.2;5.065682;1.007486
2019-12-21 14:50:00;5.1;5.06389;1.02512
2019-12-21 15:00:00;5.0;5.062528;1.05604
2019-12-21 15:10:00;5.0;5.05915;1.065525
2019-12-21 15:20:00;4.9;5.065942;1.069282
2019-12-21 15:30:00;4.9;5.063292;1.029252
2019-12-21 15:40:00;4.9;5.065345;1.065145
2019-12-21 15:50:00;4.9;5.047522;1.175585
2019-12-21 16:00:00;4.8;5.064196;1.144508
2019-12-21 16:10:00;4.8;5.04154;1.114756
2019-12-21 16:20:00;4.8;5.058918;1.03832
2019-12-21 16:30:00;4.8;5.08214;0.829504
2019-12-21 16:40:00;4.8;5.063364;1.551526
2019-12-21 16:50:00;4.8;5.068445;1.188938
2019-12-21 17:00:00;4.8;5.065515;1.125792
2019-12-21 17:10:00;4.8;5.057486;1.065164
2019-12-21 17:20:00;4.7;5.041614;1.047338
2019-12-21 17:30:00;4.6;5.049708;1.05874
2019-12-21 17:40:00;4.5;5.042664;1.098202
2019-12-21 17:50:00;4.5;5.051916;1.089532
2019-12-21 18:00:00;4.5;5.06089;1.101602
2019-12-21 18:10:00;4.5;5.06959;1.122246
2019-12-21 18:20:00;4.5;5.062572;1.05286
2019-12-21 18:30:00;4.5;5.065352;1.053848
2019-12-21 18:40:00;4.4;5.062088;1.095556
2019-12-21 18:50:00;4.4;5.048514;1.107654
2019-12-21 19:00:00;4.4;5.056154;1.123528
2019-12-21 19:10:00;4.4;5.047772;1.105894
2019-12-21 19:20:00;4.4;5.048964;1.11775
2019-12-21 19:30:00;4.3;5.068942;1.114568
2019-12-21 19:40:00;4.3;5.067224;1.489686
2019-12-21 19:50:00;4.3;5.058348;1.280458
2019-12-21 20:00:00;4.3;5.075158;1.151772
2019-12-21 20:10:00;4.3;5.062848;1.09018
2019-12-21 20:20:00;4.2;5.056848;1.133138
2019-12-21 20:30:00;4.0;5.060666;1.163192
2019-12-21 20:40:00;4.0;5.057462;1.105698
2019-12-21 20:50:00;4.1;5.060508;1.10883
2019-12-21 21:00:00;4.1;5.074272;1.125254
2019-12-21 21:10:00;4.1;5.107568;1.142714
2019-12-21 21:20:00;4.1;5.123602;1.237065
2019-12-21 21:30:00;3.9;7.330385;1.369638
2019-12-21 21:40:00;3.9;6.934408;1.383632
2019-12-21 21:50:00;3.8;6.406132;1.368188
2019-12-21 22:00:00;3.8;7.374044;1.53897
2019-12-21 22:10:00;3.3;6.762016;1.46081
2019-12-21 22:20:00;3.5;7.16834;1.376606
2019-12-21 22:30:00;3.2;7.03454;0.992146
2019-12-21 22:40:00;3.0;7.112692;1.691708
2019-12-21 22:50:00;2.8;7.527082;1.720184
2019-12-21 23:00:00;2.5;6.854636;1.514402
2019-12-21 23:10:00;2.5;6.849274;1.46238
2019-12-21 23:20:00;2.5;7.5945;1.42897
2019-12-21 23:30:00;2.2;6.818346;1.399314
2019-12-21 23:40:00;1.8;7.461788;1.28899
2019-12-21 23:50:00;1.5;7.427418;1.070596
2019-12-22 00:00:00;1.5;6.92795;0.974004
2019-12-22 00:10:00;1.5;7.26517;1.100564
2019-12-22 00:20:00;1.5;7.633582;1.20634
2019-12-22 00:30:00;1.6;8.063508;1.424502
2019-12-22 00:40:00;1.7;7.749904;1.380202
2019-12-22 00:50:00;1.8;7.780736;1.53503
2019-12-22 01:00:00;2.0;8.02917;1.673918
2019-12-22 01:10:00;2.2;7.782906;1.54222
2019-12-22 01:20:00;2.3;7.543372;1.514186
2019-12-22 01:30:00;2.3;8.65179;1.471882
2019-12-22 01:40:00;2.5;8.409763;1.456095
2019-12-22 01:50:00;2.5;9.11722;1.850574
2019-12-22 02:00:00;2.6;7.645594;1.736316
2019-12-22 02:10:00;2.6;8.584876;1.71486
2019-12-22 02:20:00;2.6;9.149574;1.785954
2019-12-22 02:30:00;2.6;8.924202;1.754686
2019-12-22 02:40:00;2.6;7.672472;2.02678
2019-12-22 02:50:00;2.5;9.110854;0.999122
2019-12-22 03:00:00;2.5;10.314006;2.491622
2019-12-22 03:10:00;2.4;10.031674;1.758024
2019-12-22 03:20:00;2.3;7.96889;2.82073
2019-12-22 03:30:00;2.2;8.654042;1.656194
2019-12-22 03:40:00;1.9;9.44144;1.502522
2019-12-22 03:50:00;1.8;10.50777;2.44273
2019-12-22 04:00:00;1.9;10.405744;1.862194
2019-12-22 04:10:00;0.5;9.049948;1.394152
2019-12-22 04:20:00;0.6;10.621926;1.761904
2019-12-22 04:30:00;1.5;9.591792;1.435172
2019-12-22 04:40:00;1.8;10.20865;1.92126
2019-12-22 04:50:00;2.0;11.798098;2.130292
2019-12-22 05:00:00;2.1;9.73804;1.758636
2019-12-22 05:10:00;2.0;9.527256;1.381286
2019-12-22 05:20:00;2.1;11.345776;1.810446
2019-12-22 05:30:00;2.1;10.333384;2.235494
2019-12-22 05:40:00;2.1;10.045288;1.798704
2019-12-22 05:50:00;2.2;11.504982;1.240024
2019-12-22 06:00:00;2.3;11.295437;1.565088
2019-12-22 06:10:00;2.3;11.17181;2.850606
2019-12-22 06:20:00;2.1;10.324364;1.875746
2019-12-22 06:30:00;2.1;9.99354;2.327326
2019-12-22 06:40:00;2.3;9.693966;1.333544
2019-12-22 06:50:00;2.3;10.624598;1.376916
2019-12-22 07:00:00;2.3;9.460504;1.421132
2019-12-22 07:10:00;2.3;10.610098;1.563508
2019-12-22 07:20:00;2.3;10.267576;1.960298
2019-12-22 07:30:00;2.3;10.808106;2.15671
2019-12-22 07:40:00;2.3;9.818022;1.2835
2019-12-22 07:50:00;2.3;9.536464;2.502834
2019-12-22 08:00:00;2.3;9.65629;1.224882
2019-12-22 08:10:00;2.3;8.688648;1.485054
2019-12-22 08:20:00;2.2;10.742882;2.04756
2019-12-22 08:30:00;2.3;11.828818;0.99349
2019-12-22 08:40:00;2.3;6.881068;1.002378
2019-12-22 08:50:00;2.4;6.067178;1.9196
